age,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,g,lg_id,mp,name,obpm,orb_pct,ows,per,pid,pos,season,stl_pct,team_id,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48
22,5.3,,,,,0.7,.008,.346,73,ABA,1027,Jim Ard,,,0.3,11.8,95,C,1970-71,,NYA,19.7,16.0,.485,20.3,,1.0,.046
23,3.9,,,,20.1,0.8,.023,.360,71,ABA,1145,Jim Ard,,10.8,0.1,10.1,95,C,1971-72,,NYA,19.3,15.6,.485,17.2,,1.0,.040
24,4.6,,,,23.1,0.1,.029,.357,42,ABA,426,Jim Ard,,11.8,-0.5,10.1,95,C,1972-73,,NYA,15.2,17.7,.432,18.4,,-0.4,-0.050
25,11.4,2.8,-1.5,1.1,23.1,0.5,.012,.311,27,ABA,502,Jim Ard,-2.7,9.9,0.1,14.5,95,C,1973-74,1.5,MMT,18.4,16.4,.467,18.6,0.1,0.6,.054
26,7.1,2.3,-5.8,0.0,19.2,1.1,,.244,59,NBA,719,Jim Ard,-5.8,8.2,-0.8,9.5,95,C,1974-75,0.8,BOS,,13.8,.384,,-0.7,0.4,.025
27,7.3,2.1,-4.3,-0.1,22.3,1.3,,.340,81,NBA,853,Jim Ard,-4.2,11.0,-0.4,11.3,95,C,1975-76,0.6,BOS,,16.7,.422,,-0.5,0.9,.052
28,7.1,1.4,-4.6,1.0,22.0,1.4,,.299,63,NBA,969,Jim Ard,-5.6,7.9,-0.6,9.1,95,C,1976-77,0.8,BOS,,15.0,.419,,-0.6,0.8,.039
29,8.1,0.0,-6.8,-0.8,23.2,0.1,,.294,15,NBA,125,Jim Ard,-6.1,7.8,-0.2,3.2,95,C,1977-78,0.0,TOT,42.2,15.6,.495,10.7,-0.2,-0.1,-0.041
29,12.6,0.0,-3.7,0.4,33.1,0.0,,2.000,1,NBA,9,Jim Ard,-4.1,11.6,0.0,9.4,95,C,1977-78,0.0,BOS,0.0,22.6,.266,8.1,0.0,0.0,.081
29,7.8,0.0,-7.1,-0.9,22.4,0.1,,.188,14,NBA,116,Jim Ard,-6.2,7.5,-0.2,2.7,95,C,1977-78,0.0,CHI,44.7,15.0,.520,10.9,-0.1,-0.1,-0.050
