age,ast_per_poss,blk_per_poss,def_rtg,drb_per_poss,fg2_pct,fg2_per_poss,fg2a_per_poss,fg3_pct,fg3_per_poss,fg3a_per_poss,fg_pct,fg_per_poss,fga_per_poss,ft_pct,ft_per_poss,fta_per_poss,g,gs,lg_id,mp,name,off_rtg,orb_per_poss,pf_per_poss,pid,pos,pts_per_poss,season,stl_per_poss,team_id,tov_per_poss,trb_per_poss
25,3.9,2.4,103,10.7,.395,6.1,15.5,1.000,0.2,0.2,.402,6.3,15.7,.784,3.8,4.9,27,,ABA,502,Jim Ard,96,4.6,4.2,95,C,16.7,1973-74,1.5,MMT,4.0,15.3
26,2.5,2.0,94,8.8,.335,5.6,16.7,,,,.335,5.6,16.7,.738,3.0,4.1,59,,NBA,719,Jim Ard,,3.7,6.0,95,C,14.2,1974-75,0.8,BOS,,12.5
27,2.5,1.9,95,10.2,.364,5.6,15.5,,,,.364,5.6,15.5,.710,3.7,5.3,81,,NBA,853,Jim Ard,,5.1,7.4,95,C,15.0,1975-76,0.6,BOS,,15.2
28,2.4,1.3,96,10.1,.378,4.4,11.7,,,,.378,4.4,11.7,.645,2.3,3.5,63,,NBA,969,Jim Ard,,3.5,5.9,95,C,11.1,1976-77,0.8,BOS,,13.6
29,3.0,0.0,104,10.2,.471,3.0,6.4,,,,.471,3.0,6.4,.600,1.1,1.9,15,,NBA,125,Jim Ard,74,3.4,7.2,95,C,7.2,1977-78,0.0,TOT,5.3,13.6
29,5.0,0.0,99,15.1,.000,0.0,5.0,,,,.000,0.0,5.0,.500,5.0,10.1,1,,NBA,9,Jim Ard,99,5.0,5.0,95,C,5.0,1977-78,0.0,BOS,0.0,20.1
29,2.9,0.0,104,9.8,.500,3.3,6.5,,,,.500,3.3,6.5,.667,0.8,1.2,14,,NBA,116,Jim Ard,72,3.3,7.3,95,C,7.3,1977-78,0.0,CHI,5.7,13.0
25,3.2,0.5,114,6.0,.460,4.0,8.8,.276,1.4,5.1,.392,5.4,13.9,.583,1.2,2.1,15,1,NBA,279,Jamel Artis,94,0.7,1.9,159,SG,13.5,2017-18,0.4,ORL,1.4,6.7
26,18.9,0.0,103,0.0,.500,6.3,12.6,.333,12.6,37.9,.375,18.9,50.5,1.000,12.6,12.6,3,0,NBA,8,Darrell Armstrong,127,6.3,18.9,103,PG,63.1,1994-95,6.3,ORL,6.3,6.3
27,6.4,0.0,98,2.6,.500,12.8,25.5,.500,7.7,15.3,.500,20.4,40.8,1.000,5.1,5.1,13,0,NBA,41,Darrell Armstrong,104,0.0,5.1,103,PG,53.6,1995-96,7.7,ORL,7.7,2.6
