height,name,pid,weight
82,Alaa Abdelnaby,1,240
81,Zaid Abdul-Aziz,2,235
86,Kareem Abdul-Jabbar,3,225
73,Mahmoud Abdul-Rauf,4,162
78,Tariq Abdul-Wahad,5,223
81,Shareef Abdur-Rahim,6,225
79,Tom Abernethy,7,220
75,Forest Able,8,180
75,John Abramovic,9,195
77,Alex Acker,10,185
72,Don Ackerman,11,183
83,Mark Acres,12,220
78,Bud Acton,13,210
81,Alvan Adams,14,210
78,Don Adams,15,210
77,George Adams,16,210
76,Hassan Adams,17,220
70,Michael Adams,18,162
79,Rafael Addison,19,215
73,Rick Adelman,20,175
79,Jeff Adrien,21,245
77,Maurice Ager,22,202
78,Mark Aguirre,23,232
74,Blake Ahearn,24,190
76,Danny Ainge,25,175
79,Matthew Aitch,26,230
82,Henry Akin,27,225
71,Josh Akognon,28,185
85,Solomon Alabi,29,251
80,Mark Alarie,30,217
81,Gary Alcorn,31,225
82,Furkan Aldemir,32,240
83,Chuck Aleksinas,33,260
73,Cory Alexander,34,185
77,Courtney Alexander,35,205
79,Gary Alexander,36,240
80,Joe Alexander,37,230
81,Victor Alexander,38,265
74,Steve Alford,39,183
80,Bill Allen,40,205
81,Bob Allen,41,205
76,Jerome Allen,42,184
74,Lucius Allen,43,175
82,Malik Allen,44,255
80,Randy Allen,45,220
77,Ray Allen,46,205
78,Willie Allen,47,230
78,Odis Allison,48,195
83,Lance Allred,49,250
81,Darrell Allums,50,220
78,Morris Almond,51,225
83,Derrick Alston,52,225
74,Rafer Alston,53,171
82,Peter Aluma,54,260
82,John Amaechi,55,270
80,Ashraf Amaya,56,230
81,Lou Amundson,57,220
75,Bob Anderegg,58,200
82,Chris Andersen,59,245
83,David Andersen,60,245
74,Andrew Anderson,61,184
78,Antonio Anderson,62,215
74,Cliff Anderson,63,200
82,Dan Anderson,64,230
74,Dan Anderson,65,185
77,Derek Anderson,66,194
75,Dwight Anderson,67,185
81,Eric Anderson,68,220
82,Greg Anderson,69,230
80,J.J. Anderson,70,195
78,James Anderson,71,213
77,Jerome Anderson,72,195
72,Kenny Anderson,73,168
79,Kim Anderson,74,200
71,Michael Anderson,75,184
78,Nick Anderson,76,205
82,Richard Anderson,77,240
79,Ron Anderson,78,215
78,Shandon Anderson,79,208
79,Willie Anderson,80,190
79,Wally Anderzunas,81,220
86,Martynas Andriuskevicius,82,240
79,Don Anielak,83,190
79,Michael Ansley,84,225
84,Chris Anstey,85,249
79,Thanasis Antetokounmpo,86,205
72,Greg Anthony,87,176
81,Joel Anthony,88,245
83,Pero Antic,89,260
73,Keith Appling,90,185
83,Rafael Araujo,91,280
76,Stacey Arceneaux,92,210
83,Robert Archibald,93,250
73,Tiny Archibald,94,150
80,Jim Ard,95,215
75,Gilbert Arenas,96,191
76,Paul Arizin,97,190
81,Joe Arlauckas,98,230
74,B.J. Armstrong,99,175
80,Bob Armstrong,100,220
77,Brandon Armstrong,101,188
71,Curly Armstrong,102,170
72,Darrell Armstrong,103,170
83,Hilton Armstrong,104,235
75,Tate Armstrong,105,175
77,Jesse Arnelle,106,220
74,Jay Arnette,107,175
77,Bob Arnzen,108,205
74,Carlos Arroyo,109,202
76,John Arthurs,110,185
78,Vincent Askew,111,210
79,Keith Askins,112,197
74,Don Asmonga,113,185
74,Dick Atha,114,190
71,Chucky Atkins,115,160
72,Al Attles,116,175
70,Chet Aubuchon,117,137
80,Stacey Augmon,118,205
82,James Augustine,119,235
82,Isaac Austin,120,255
72,Johnny Austin,121,170
81,Ken Austin,122,205
81,Anthony Avent,123,235
73,Bird Averitt,124,170
74,William Avery,125,197
82,Dennis Awtrey,126,235
82,Gustavo Ayon,127,250
81,Jeff Ayres,128,240
77,Kelenna Azubuike,129,220
78,Alex Abrines,130,190
79,Quincy Acy,131,240
74,Jaylen Adams,132,190
77,Jordan Adams,133,209
84,Steven Adams,134,255
82,Bam Adebayo,135,243
77,Arron Afflalo,136,210
86,Alexis Ajinca,137,248
77,DeVaughn Akoon-Purcell,138,200
83,Cole Aldrich,139,250
83,LaMarcus Aldridge,140,260
80,Cliff Alexander,141,245
77,Grayson Allen,142,205
82,Jarrett Allen,143,234
75,Kadeem Allen,144,192
81,Lavoy Allen,145,260
76,Tony Allen,146,213
81,Al-Farouq Aminu,147,220
78,Alan Anderson,148,220
78,Justin Anderson,149,228
81,Kyle Anderson,150,230
82,Ryan Anderson,151,240
82,Ike Anigbogu,152,252
