age,ast_per_g,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,lg_id,mp_per_g,name,orb_per_g,pf_per_g,pid,pos,pts_per_g,ring,season,stl_per_g,team_id,tov_per_g,trb_per_g
22,0.5,,3.0,.552,.552,2.7,4.8,,0.0,0.0,.552,2.7,4.8,.682,2.5,3.7,6,,ABA,16.3,Jim Ard,1.8,2.5,95,C,7.8,False,1970-71,,NYA,1.0,4.8
23,0.3,,,.438,.467,1.1,2.3,.000,0.0,0.2,.438,1.1,2.5,.300,0.2,0.8,13,,ABA,9.0,Jim Ard,,1.5,95,C,2.4,False,1971-72,,NYA,0.5,2.2
26,0.2,0.2,0.0,.125,.125,0.2,1.6,,,,.125,0.2,1.6,,0.0,0.0,5,,NBA,2.8,Jim Ard,0.4,1.0,95,C,0.4,False,1974-75,0.0,BOS,,0.4
27,0.5,0.2,1.0,.448,.448,0.8,1.8,,,,.448,0.8,1.8,.786,0.7,0.9,16,,NBA,6.9,Jim Ard,0.6,1.8,95,C,2.3,True,1975-76,0.1,BOS,,1.6
28,3.4,0.2,3.6,.548,.583,2.8,4.8,.333,1.2,3.6,.476,4.0,8.4,.846,2.2,2.6,5,0,NBA,28.6,Darrell Armstrong,0.6,1.2,103,PG,11.4,False,1996-97,1.6,ORL,1.4,4.2
30,6.3,0.0,3.5,.467,.364,2.0,5.5,.375,2.3,6.0,.370,4.3,11.5,1.000,4.0,4.0,4,4,NBA,40.8,Darrell Armstrong,1.5,4.0,103,PG,14.8,False,1998-99,2.3,ORL,6.3,5.0
32,4.8,0.5,4.3,.456,.385,2.5,6.5,.368,1.8,4.8,.378,4.3,11.3,.923,3.0,3.3,4,4,NBA,41.8,Darrell Armstrong,1.3,2.5,103,PG,13.3,False,2000-01,2.0,ORL,2.8,5.5
33,3.3,0.0,2.0,.524,.640,4.0,6.3,.235,1.0,4.3,.476,5.0,10.5,.810,4.3,5.3,4,4,NBA,39.5,Darrell Armstrong,0.8,3.5,103,PG,15.3,False,2001-02,1.3,ORL,1.8,2.8
34,3.7,0.0,1.4,.523,.538,2.0,3.7,.333,0.9,2.6,.455,2.9,6.3,.909,2.9,3.1,7,1,NBA,32.3,Darrell Armstrong,1.0,3.1,103,PG,9.4,False,2002-03,0.9,ORL,2.4,2.4
35,2.3,0.0,1.3,.309,.333,0.4,1.3,.200,0.7,3.6,.235,1.1,4.9,1.000,0.4,0.4,7,0,NBA,21.4,Darrell Armstrong,0.9,1.4,103,PG,3.4,False,2003-04,0.9,NOH,1.9,2.1
36,1.0,0.2,0.1,.563,.750,0.7,0.9,.250,0.2,0.9,.500,0.9,1.8,,0.0,0.0,9,0,NBA,7.3,Darrell Armstrong,0.3,1.0,103,PG,2.0,False,2004-05,0.3,DAL,0.2,0.4
37,0.2,0.1,0.5,.200,.375,0.3,0.7,.000,0.0,0.6,.200,0.3,1.4,1.000,0.2,0.2,11,0,NBA,4.3,Darrell Armstrong,0.1,0.8,103,PG,0.7,False,2005-06,0.3,DAL,0.1,0.6
21,0.1,0.1,0.6,.500,.500,0.6,1.3,,0.0,0.0,.500,0.6,1.3,.500,0.4,0.8,8,0,NBA,2.9,Ante Zizic,0.1,0.3,883,C,1.6,False,2017-18,0.0,CLE,0.3,0.8
22,0.5,0.2,3.0,.545,.529,1.5,2.8,.375,1.0,2.7,.455,2.5,5.5,1.000,1.3,1.3,6,0,NBA,22.7,Paul Zipser,0.5,2.0,882,SF,7.3,False,2016-17,0.2,CHI,1.2,3.5
21,0.5,0.8,1.0,.333,.333,0.8,2.3,,0.0,0.0,.333,0.8,2.3,.500,0.5,1.0,4,0,NBA,13.3,Cody Zeller,1.3,0.8,879,C,2.0,False,2013-14,0.0,CHA,0.5,2.3
23,0.3,0.4,4.0,.553,.553,3.0,5.4,,0.0,0.0,.553,3.0,5.4,.810,2.4,3.0,7,2,NBA,19.6,Cody Zeller,1.3,2.9,879,C,8.4,False,2015-16,0.1,CHO,1.0,5.3
29,0.7,,,,,,,,,,.179,0.8,4.3,.632,1.3,2.1,9,,BAA,,Matt Zunic,,2.9,878,,2.9,False,1948-49,,WSC,,
25,0.5,0.3,4.0,.517,.517,3.8,7.3,,0.0,0.0,.517,3.8,7.3,.800,1.0,1.3,4,4,NBA,22.5,Tyler Zeller,0.5,1.3,880,C,8.5,False,2014-15,0.5,BOS,1.0,4.5
26,0.7,0.7,3.7,.467,.467,2.3,5.0,,0.0,0.0,.467,2.3,5.0,.667,1.3,2.0,3,0,NBA,12.7,Tyler Zeller,1.3,0.3,880,C,6.0,False,2015-16,0.0,BOS,0.7,5.0
27,0.7,0.2,1.0,.520,.520,1.2,2.3,,0.0,0.0,.520,1.2,2.3,.750,0.5,0.7,11,0,NBA,7.1,Tyler Zeller,0.7,0.6,880,C,2.9,False,2016-17,0.0,BOS,0.4,1.7
28,0.4,0.4,1.7,.800,.800,0.6,0.7,,0.0,0.0,.800,0.6,0.7,.750,0.4,0.6,7,3,NBA,9.4,Tyler Zeller,0.3,1.6,880,C,1.6,False,2017-18,0.6,MIL,0.1,2.0
23,0.2,0.2,0.4,.438,.333,0.4,1.2,.500,0.2,0.4,.375,0.6,1.6,1.000,0.6,0.6,5,0,NBA,4.6,Wang Zhizhi,0.0,0.2,873,C,2.0,False,2000-01,0.2,DAL,0.2,0.4
24,0.4,0.1,0.4,.531,.400,0.5,1.3,.500,0.4,0.8,.438,0.9,2.0,.500,0.4,0.8,8,0,NBA,5.5,Wang Zhizhi,0.6,1.4,873,C,2.5,False,2001-02,0.0,DAL,0.0,1.0
26,0.3,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,3,0,NBA,2.3,Wang Zhizhi,0.0,0.3,873,C,0.0,False,2003-04,0.0,MIA,0.3,0.0
23,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1,0,NBA,1.0,Phil Zevenbergen,0.0,0.0,872,C,0.0,False,1987-88,0.0,SAS,0.0,0.0
23,0.3,,,.343,.343,0.8,2.3,,,,.343,0.8,2.3,.286,0.1,0.5,15,,NBA,4.5,Gary Zeller,,1.0,868,SG,1.7,False,1970-71,,BAL,,0.9
24,0.0,,,1.000,1.000,0.3,0.3,,0.0,0.0,1.000,0.3,0.3,.000,0.0,0.3,3,,ABA,3.0,Gary Zeller,,2.3,868,SG,0.7,False,1971-72,,NYA,1.0,0.3
22,0.5,,,,,,,,,,.500,0.5,1.0,,0.0,0.0,2,,NBA,2.5,Dave Zeller,,0.0,867,PG,1.0,False,1961-62,,CIN,,0.5
22,0.0,,,,,,,,,,.167,0.5,3.0,.000,0.0,1.0,2,,NBA,9.0,Zeke Zawoluk,,2.5,866,PF,1.0,False,1952-53,,INO,,1.0
21,0.4,,,,,,,,,,.302,5.5,18.1,.659,2.6,4.0,11,,BAA,,Max Zaslofsky,,2.4,865,SG,13.5,False,1946-47,,CHS,,
22,0.0,,,,,,,,,,.341,6.0,17.6,.787,7.4,9.4,5,,BAA,,Max Zaslofsky,,3.4,865,SG,19.4,False,1947-48,,CHS,,
23,3.0,,,,,,,,,,.306,7.5,24.5,.778,7.0,9.0,2,,BAA,,Max Zaslofsky,,1.5,865,SG,22.0,False,1948-49,,CHS,,
24,3.0,,,,,,,,,,.469,7.5,16.0,.833,7.5,9.0,2,,NBA,,Max Zaslofsky,,3.5,865,SG,22.5,False,1949-50,,CHS,,
25,2.7,,,,,,,,,,.406,6.3,15.5,.740,5.3,7.1,14,,NBA,,Max Zaslofsky,,3.1,865,SG,17.9,False,1950-51,,NYK,,4.1
26,1.6,,,,,,,,,,.373,4.9,13.2,.809,6.4,7.9,14,,NBA,36.1,Max Zaslofsky,,3.6,865,SG,16.2,False,1951-52,,NYK,,3.1
28,1.5,,,,,,,,,,.306,2.8,9.0,.867,3.3,3.8,4,,NBA,24.5,Max Zaslofsky,,1.8,865,SG,8.8,False,1953-54,,FTW,,0.8
29,1.6,,,,,,,,,,.409,1.6,4.0,.800,1.5,1.8,11,,NBA,11.7,Max Zaslofsky,,1.8,865,SG,4.7,False,1954-55,,FTW,,1.5
24,0.0,0.0,1.0,.500,.000,0.0,0.5,.500,0.5,1.0,.333,0.5,1.5,,0.0,0.0,2,0,NBA,5.0,Josh Huestis,0.5,0.5,861,PF,1.5,False,2015-16,0.0,OKC,0.0,1.5
26,0.0,0.3,0.8,.500,.500,0.3,0.5,,0.0,0.0,.500,0.3,0.5,.500,0.3,0.5,4,0,NBA,4.8,Josh Huestis,0.0,0.8,861,PF,0.8,False,2017-18,0.3,OKC,0.0,0.8
22,0.6,0.2,1.0,.278,.250,0.2,0.8,.200,0.2,1.0,.222,0.4,1.8,,0.0,0.0,5,0,NBA,8.2,R.J. Hunter,0.2,0.6,862,SG,1.0,False,2015-16,0.0,BOS,0.2,1.2
21,1.8,1.0,10.8,.548,.548,5.8,10.5,,0.0,0.0,.548,5.8,10.5,.455,3.8,8.3,4,4,NBA,41.8,Dwight Howard,4.0,3.3,858,C,15.3,False,2006-07,0.5,ORL,4.3,14.8
22,0.9,3.4,9.8,.581,.581,7.2,12.4,,0.0,0.0,.581,7.2,12.4,.542,4.5,8.3,10,10,NBA,42.1,Dwight Howard,6.0,3.8,858,C,18.9,False,2007-08,0.8,ORL,3.2,15.8
23,1.9,2.6,11.0,.601,.605,7.0,11.6,.000,0.0,0.1,.601,7.0,11.7,.636,6.3,9.9,23,23,NBA,39.3,Dwight Howard,4.3,4.4,858,C,20.3,False,2008-09,0.9,ORL,2.9,15.3
24,1.4,3.5,8.4,.614,.614,6.1,10.0,,0.0,0.0,.614,6.1,10.0,.519,5.9,11.3,14,14,NBA,35.5,Dwight Howard,2.7,4.2,858,C,18.1,False,2009-10,0.8,ORL,3.6,11.1
