age,ast_per_poss,blk_per_poss,def_rtg,drb_per_poss,fg2_pct,fg2_per_poss,fg2a_per_poss,fg3_pct,fg3_per_poss,fg3a_per_poss,fg_pct,fg_per_poss,fga_per_poss,ft_pct,ft_per_poss,fta_per_poss,g,gs,lg_id,mp,name,off_rtg,orb_per_poss,pf_per_poss,pid,pos,pts_per_poss,ring,season,stl_per_poss,team_id,tov_per_poss,trb_per_poss
26,3.3,3.3,105,0.0,.125,3.3,26.2,,,,.125,3.3,26.2,,0.0,0.0,5,,NBA,14,Jim Ard,,6.6,16.4,95,C,6.6,False,1974-75,0.0,BOS,,6.6
27,3.4,1.3,95,6.9,.448,5.6,12.5,,,,.448,5.6,12.5,.786,4.7,6.0,16,,NBA,110,Jim Ard,,4.3,12.5,95,C,15.9,True,1975-76,0.4,BOS,,11.2
28,6.7,0.4,105,7.1,.583,5.5,9.5,.333,2.4,7.1,.476,7.9,16.6,.846,4.4,5.1,5,0,NBA,143,Darrell Armstrong,117,1.2,2.4,103,PG,22.6,False,1996-97,3.2,ORL,2.8,8.3
30,8.4,0.0,106,4.7,.364,2.7,7.4,.375,3.0,8.1,.370,5.7,15.5,1.000,5.4,5.4,4,4,NBA,163,Darrell Armstrong,90,2.0,5.4,103,PG,19.9,False,1998-99,3.0,ORL,8.4,6.7
32,5.9,0.6,114,5.3,.385,3.1,8.0,.368,2.2,5.9,.378,5.3,13.9,.923,3.7,4.0,4,4,NBA,167,Darrell Armstrong,103,1.5,3.1,103,PG,16.4,False,2000-01,2.5,ORL,3.4,6.8
33,4.5,0.0,109,2.8,.640,5.5,8.6,.235,1.4,5.9,.476,6.9,14.5,.810,5.9,7.2,4,4,NBA,158,Darrell Armstrong,114,1.0,4.8,103,PG,21.0,False,2001-02,1.7,ORL,2.4,3.8
34,6.3,0.0,111,2.4,.538,3.4,6.3,.333,1.4,4.3,.455,4.8,10.6,.909,4.8,5.3,7,1,NBA,226,Darrell Armstrong,109,1.7,5.3,103,PG,15.9,False,2002-03,1.4,ORL,4.1,4.1
35,5.9,0.0,98,3.3,.333,1.1,3.3,.200,1.8,9.2,.235,2.9,12.5,1.000,1.1,1.1,7,0,NBA,150,Darrell Armstrong,70,2.2,3.7,103,PG,8.8,False,2003-04,2.2,NOH,4.8,5.5
36,7.1,1.6,116,0.8,.750,4.7,6.3,.250,1.6,6.3,.500,6.3,12.6,,0.0,0.0,9,0,NBA,66,Darrell Armstrong,126,2.4,7.1,103,PG,14.2,False,2004-05,2.4,DAL,1.6,3.2
37,2.3,1.1,101,6.9,.375,3.4,9.2,.000,0.0,8.0,.200,3.4,17.2,1.000,2.3,2.3,11,0,NBA,47,Darrell Armstrong,65,1.1,10.3,103,PG,9.2,False,2005-06,3.4,DAL,1.1,8.0
21,2.3,2.3,110,11.4,.500,11.4,22.8,,0.0,0.0,.500,11.4,22.8,.500,6.8,13.7,8,0,NBA,23,Ante Zizic,95,2.3,4.6,883,C,29.6,False,2017-18,0.0,CLE,4.6,13.7
22,1.1,0.4,116,6.9,.529,3.4,6.5,.375,2.3,6.1,.455,5.7,12.6,1.000,3.1,3.1,6,0,NBA,136,Paul Zipser,109,1.1,4.6,882,SF,16.9,False,2016-17,0.4,CHI,2.7,8.0
21,2.0,3.0,112,4.0,.333,3.0,9.0,,0.0,0.0,.333,3.0,9.0,.500,2.0,4.0,4,0,NBA,53,Cody Zeller,89,5.0,3.0,879,C,8.0,False,2013-14,0.0,CHA,2.0,9.0
23,0.8,1.2,108,10.8,.553,8.1,14.6,,0.0,0.0,.553,8.1,14.6,.810,6.5,8.1,7,2,NBA,137,Cody Zeller,116,3.5,7.7,879,C,22.7,False,2015-16,0.4,CHO,2.7,14.2
25,1.1,0.6,110,9.1,.517,8.6,16.6,,0.0,0.0,.517,8.6,16.6,.800,2.3,2.9,4,4,NBA,90,Tyler Zeller,100,1.1,2.9,880,C,19.4,False,2014-15,1.1,BOS,2.3,10.3
26,2.6,2.6,98,14.1,.467,9.0,19.3,,0.0,0.0,.467,9.0,19.3,.667,5.1,7.7,3,0,NBA,38,Tyler Zeller,103,5.1,1.3,880,C,23.1,False,2015-16,0.0,BOS,2.6,19.3
27,5.2,1.3,117,7.2,.520,8.5,16.4,,0.0,0.0,.520,8.5,16.4,.750,3.9,5.2,11,0,NBA,78,Tyler Zeller,117,5.2,4.6,880,C,21.0,False,2016-17,0.0,BOS,2.6,12.5
28,2.4,2.4,103,9.5,.800,3.2,3.9,,0.0,0.0,.800,3.2,3.9,.750,2.4,3.2,7,3,NBA,66,Tyler Zeller,155,1.6,8.7,880,C,8.7,False,2017-18,3.2,MIL,0.8,11.0
23,2.4,2.4,107,4.7,.333,4.7,14.2,.500,2.4,4.7,.375,7.1,18.9,1.000,7.1,7.1,5,0,NBA,23,Wang Zhizhi,107,0.0,2.4,873,C,23.6,False,2000-01,2.4,DAL,2.4,4.7
24,3.4,1.1,116,3.4,.400,4.5,11.3,.500,3.4,6.8,.438,7.9,18.1,.500,3.4,6.8,8,0,NBA,44,Wang Zhizhi,127,5.7,12.5,873,C,22.6,False,2001-02,0.0,DAL,0.0,9.1
26,7.9,0.0,107,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,3,0,NBA,7,Wang Zhizhi,35,0.0,7.9,873,C,0.0,False,2003-04,0.0,MIA,7.9,0.0
23,0.0,0.0,122,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1,0,NBA,1,Phil Zevenbergen,,0.0,0.0,872,C,0.0,False,1987-88,0.0,SAS,0.0,0.0
24,0.0,0.0,110,10.1,.000,0.0,5.0,.500,5.0,10.1,.333,5.0,15.1,,0.0,0.0,2,0,NBA,10,Josh Huestis,122,5.0,5.0,861,PF,15.1,False,2015-16,0.0,OKC,0.0,15.1
26,0.0,2.6,103,7.8,.500,2.6,5.2,,0.0,0.0,.500,2.6,5.2,.500,2.6,5.2,4,0,NBA,19,Josh Huestis,109,0.0,7.8,861,PF,7.8,False,2017-18,2.6,OKC,0.0,7.8
22,3.6,1.2,105,6.0,.250,1.2,4.8,.200,1.2,6.0,.222,2.4,10.7,,0.0,0.0,5,0,NBA,41,R.J. Hunter,70,1.2,3.6,862,SG,6.0,False,2015-16,0.0,BOS,1.2,7.1
21,2.4,1.3,108,14.5,.548,7.7,14.1,,0.0,0.0,.548,7.7,14.1,.455,5.0,11.1,4,4,NBA,167,Dwight Howard,94,5.4,4.4,858,C,20.5,False,2006-07,0.7,ORL,5.7,19.8
22,1.2,4.4,102,12.8,.581,9.4,16.2,,0.0,0.0,.581,9.4,16.2,.542,5.9,10.8,10,10,NBA,421,Dwight Howard,113,7.8,5.0,858,C,24.6,False,2007-08,1.0,ORL,4.2,20.6
23,2.6,3.6,98,15.1,.605,9.6,15.9,.000,0.0,0.1,.601,9.6,16.0,.636,8.6,13.6,23,23,NBA,903,Dwight Howard,119,5.9,6.1,858,C,27.8,False,2008-09,1.2,ORL,4.0,21.0
24,2.1,5.5,93,13.1,.614,9.6,15.6,,0.0,0.0,.614,9.6,15.6,.519,9.2,17.6,14,14,NBA,497,Dwight Howard,106,4.2,6.6,858,C,28.4,False,2009-10,1.2,ORL,5.7,17.3
25,0.6,2.4,96,14.2,.638,11.0,17.2,.000,0.0,0.2,.630,11.0,17.4,.682,12.9,18.9,6,6,NBA,258,Dwight Howard,113,5.8,5.4,858,C,34.8,False,2010-11,0.9,ORL,7.1,20.0
27,1.7,3.3,108,13.6,.619,10.8,17.4,,0.0,0.0,.619,10.8,17.4,.444,6.6,14.9,4,4,NBA,126,Dwight Howard,95,4.1,7.0,858,C,28.1,False,2012-13,0.8,LAL,6.6,17.8
28,2.5,3.8,109,12.3,.547,13.0,23.7,,0.0,0.0,.547,13.0,23.7,.625,9.0,14.3,6,6,NBA,231,Dwight Howard,117,6.0,5.6,858,C,35.0,False,2013-14,0.9,HOU,4.3,18.4
29,1.6,3.2,101,14.5,.577,8.6,15.0,,0.0,0.0,.577,8.6,15.0,.412,5.6,13.6,17,17,NBA,574,Dwight Howard,105,5.1,4.9,858,C,22.9,False,2014-15,1.9,HOU,3.0,19.6
30,2.2,1.9,109,11.9,.553,7.0,12.7,.000,0.0,0.3,.542,7.0,13.0,.368,3.8,10.3,5,5,NBA,180,Dwight Howard,100,7.0,5.7,858,C,17.9,False,2015-16,1.1,HOU,3.3,19.0
31,2.5,1.6,102,14.3,.500,5.6,11.2,,0.0,0.0,.500,5.6,11.2,.632,3.7,5.9,6,6,NBA,157,Dwight Howard,105,5.6,6.5,858,C,14.9,False,2016-17,1.9,ATL,3.4,19.9
21,5.1,1.4,114,10.3,.472,6.9,14.5,,0.0,0.0,.472,6.9,14.5,.741,4.0,5.5,7,7,NBA,277,Al Horford,108,4.4,5.3,856,C,17.8,False,2007-08,0.6,ATL,3.0,14.7
22,4.2,1.4,109,9.2,.431,5.8,13.4,.000,0.0,0.2,.424,5.8,13.6,.667,2.8,4.2,9,9,NBA,252,Al Horford,107,2.8,6.0,856,C,14.3,False,2008-09,1.4,ATL,0.9,12.0
23,2.9,2.7,109,10.2,.520,9.5,18.3,1.000,0.1,0.1,.523,9.7,18.5,.839,3.7,4.5,11,11,NBA,388,Al Horford,117,4.0,5.0,856,C,23.2,False,2009-10,1.2,ATL,2.2,14.3
24,5.0,1.4,104,10.7,.430,6.9,16.1,.000,0.0,0.2,.423,6.9,16.3,.769,2.4,3.1,12,12,NBA,468,Al Horford,100,3.0,3.9,856,C,16.2,False,2010-11,0.6,ATL,2.0,13.7
25,4.0,2.0,93,10.1,.588,10.1,17.2,,0.0,0.0,.588,10.1,17.2,.750,3.0,4.0,3,2,NBA,108,Al Horford,97,2.5,5.6,856,C,23.2,False,2011-12,2.0,ATL,6.1,12.6
26,4.3,1.2,101,9.9,.494,9.9,20.0,,0.0,0.0,.494,9.9,20.0,.667,4.3,6.5,6,6,NBA,218,Al Horford,106,2.9,4.1,856,C,24.1,False,2012-13,1.4,ATL,2.2,12.8
28,5.8,2.3,102,9.6,.520,10.3,19.9,.222,0.2,0.9,.507,10.5,20.7,.750,1.5,2.0,16,16,NBA,522,Al Horford,108,3.9,3.3,856,C,22.7,False,2014-15,1.3,ATL,2.5,13.6
29,4.6,3.7,101,8.0,.489,6.6,13.5,.393,1.7,4.3,.466,8.3,17.8,.938,2.3,2.5,10,10,NBA,327,Al Horford,107,2.0,3.8,856,C,20.6,False,2015-16,1.8,ATL,2.6,10.0
30,8.1,1.2,115,7.3,.609,7.0,11.6,.519,2.3,4.4,.584,9.3,15.9,.759,1.8,2.4,18,18,NBA,610,Al Horford,128,2.6,2.8,856,C,22.7,False,2016-17,1.3,BOS,2.8,9.9
31,4.8,1.7,105,9.5,.596,7.3,12.2,.349,1.1,3.3,.544,8.4,15.5,.827,4.7,5.7,19,19,NBA,679,Al Horford,123,2.4,3.0,856,C,22.7,False,2017-18,1.4,BOS,2.4,11.9
24,2.3,0.0,114,5.5,.436,4.5,10.3,.260,2.4,9.4,.352,7.0,19.8,.611,2.1,3.4,11,0,NBA,277,Rodney Hood,84,0.2,5.6,854,SG,18.4,False,2016-17,0.9,UTA,1.9,5.6
25,3.6,0.8,113,4.8,.515,7.1,13.7,.167,0.8,4.8,.424,7.9,18.5,.750,1.8,2.4,17,1,NBA,260,Rodney Hood,94,1.4,6.0,854,SG,18.3,False,2017-18,1.0,CLE,2.6,6.2
24,4.5,0.0,112,4.5,.000,0.0,4.5,,0.0,0.0,.000,0.0,4.5,,0.0,0.0,3,0,NBA,11,Richaun Holmes,56,0.0,13.4,853,C,0.0,False,2017-18,0.0,PHI,0.0,4.5
27,0.0,0.0,110,0.0,,0.0,0.0,.000,0.0,48.8,.000,0.0,48.8,,0.0,0.0,1,0,NBA,1,John Holland,0,0.0,0.0,851,SF,0.0,False,2015-16,0.0,BOS,0.0,0.0
25,4.7,0.0,107,4.7,.000,0.0,4.7,1.000,4.7,4.7,.500,4.7,9.3,,0.0,0.0,5,0,NBA,11,Justin Holiday,74,0.0,4.7,850,SG,14.0,True,2014-15,0.0,GSW,9.3,4.7
20,8.3,0.6,108,4.8,.351,3.9,11.0,.524,3.3,6.2,.414,7.1,17.2,.800,3.6,4.5,5,5,NBA,188,Jrue Holiday,108,0.9,3.0,849,PG,21.1,False,2010-11,3.0,PHI,3.3,5.6
21,7.4,0.9,99,4.8,.415,5.9,14.3,.408,2.2,5.4,.413,8.1,19.7,.864,4.2,4.8,13,13,NBA,494,Jrue Holiday,106,1.9,2.6,849,PG,22.6,False,2011-12,2.2,PHI,2.9,6.7
24,12.3,0.9,120,0.9,.400,5.7,14.2,.250,0.9,3.8,.368,6.6,18.0,1.000,3.8,3.8,3,0,NBA,55,Jrue Holiday,98,1.9,2.8,849,PG,18.0,False,2014-15,1.9,NOP,4.7,2.8
27,7.7,0.7,110,5.6,.600,9.7,16.1,.320,2.1,6.7,.518,11.8,22.8,.700,2.8,4.0,9,9,NBA,348,Jrue Holiday,112,1.2,3.0,849,SG,28.6,False,2017-18,1.3,NOP,3.1,6.8
