age,and1s,astd_pts,drawn_shooting,fga_blkd,fouls_blocking,fouls_offensive,fouls_shooting,fouls_take,g,lg_id,mp,name,pct_1,pct_2,pct_3,pct_4,pct_5,pid,plus_minus_net,plus_minus_on,pos,ring,season,team_id,tov_bad_pass,tov_lost_ball,tov_other
32,0,42,2,2,,0,2,0,4,NBA,167,Darrell Armstrong,79%,21%,,,,103,-2.3,-8.4,PG,False,2000-01,ORL,9,2,0
33,1,28,2,1,,0,1,0,4,NBA,158,Darrell Armstrong,100%,,,,,103,2.7,-4.5,PG,False,2001-02,ORL,3,3,1
34,1,59,6,4,,3,2,0,7,NBA,226,Darrell Armstrong,62%,39%,,,,103,13.3,-4.1,PG,False,2002-03,ORL,9,3,5
35,0,36,1,3,,1,2,0,7,NBA,150,Darrell Armstrong,100%,,,,,103,-7.5,-7.7,PG,False,2003-04,NOH,5,6,2
36,0,20,0,1,,1,3,0,9,NBA,66,Darrell Armstrong,100%,,,,,103,16.9,13.0,PG,False,2004-05,DAL,0,0,2
37,0,4,1,1,,0,4,0,11,NBA,47,Darrell Armstrong,100%,,,,,103,-15.2,-10.2,PG,False,2005-06,DAL,0,1,0
21,0,2,2,1,0,0,1,0,8,NBA,23,Ante Zizic,,,,,100%,883,21.9,19.5,C,False,2017-18,CLE,1,0,0
22,0,7,4,0,2,1,3,0,6,NBA,136,Paul Zipser,,,85%,15%,,882,-3.2,-9.3,SF,False,2016-17,CHI,4,0,1
21,0,5,2,3,0,0,3,0,4,NBA,53,Cody Zeller,,,,,100%,879,-27.6,-30.8,C,False,2013-14,CHA,1,1,0
23,0,5,8,2,1,4,8,0,7,NBA,137,Cody Zeller,,,,27%,73%,879,19.7,0.7,C,False,2015-16,CHO,0,2,4
25,1,4,3,3,1,0,4,0,4,NBA,90,Tyler Zeller,,,,,100%,880,3.1,-9.3,C,False,2014-15,BOS,2,2,0
26,0,5,2,0,0,0,1,0,3,NBA,38,Tyler Zeller,,,,,100%,880,25.0,15.9,C,False,2015-16,BOS,0,1,0
27,0,20,4,2,1,2,3,0,11,NBA,78,Tyler Zeller,,,,,100%,880,-8.8,-10.7,C,False,2016-17,BOS,1,1,2
28,0,7,2,0,0,0,7,0,7,NBA,66,Tyler Zeller,,,,,100%,880,-33.1,-26.4,C,False,2017-18,MIL,1,0,0
23,1,3,1,0,,0,0,0,5,NBA,23,Wang Zhizhi,,,,,100%,873,47.6,40.9,C,False,2000-01,DAL,0,1,0
24,0,8,2,0,,0,5,0,8,NBA,44,Wang Zhizhi,,,,6%,94%,873,-12.9,-11.5,C,False,2001-02,DAL,0,0,0
26,0,2,0,0,,0,0,0,3,NBA,7,Wang Zhizhi,,,,32%,68%,873,36.6,36.4,C,False,2003-04,MIA,0,1,0
24,0,0,0,0,0,0,1,0,2,NBA,10,Josh Huestis,,,,86%,15%,861,7.7,12.8,PF,False,2015-16,OKC,0,0,0
26,0,0,0,0,0,0,3,0,4,NBA,19,Josh Huestis,,,98%,2%,,861,-5.9,-10.7,PF,False,2017-18,OKC,0,0,0
22,0,6,0,2,0,0,1,0,5,NBA,41,R.J. Hunter,,63%,37%,,,862,11.2,3.8,SG,False,2015-16,BOS,0,0,0
21,5,17,18,6,,2,3,0,4,NBA,167,Dwight Howard,,,,11%,89%,858,-21.5,-13.2,C,False,2006-07,ORL,3,6,8
22,7,24,38,6,,11,18,0,10,NBA,421,Dwight Howard,,,,,100%,858,8.4,3.0,C,False,2007-08,ORL,4,8,20
23,19,108,94,25,,21,53,0,23,NBA,903,Dwight Howard,,,,,100%,858,-12.7,-0.3,C,False,2008-09,ORL,4,22,41
