age,avg_dist,fg2_dunk,fg2_pct,fg2_pct_ast,fg2a_pct_fga,fg3_heave,fg3_pct,fg3_pct_ast,fg3_pct_corner,fg3a_heave,fg3a_pct_fga,fg_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,g,lg_id,mp,name,pct_fg2_dunk,pct_fg3a_corner,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pid,pos,ring,season,team_id
32,16.6,0,.385,.300,.578,0,.368,.714,.667,0,.422,.378,1.000,.250,.200,.167,4,NBA,167,Darrell Armstrong,.000,.158,.133,.089,.222,.133,103,PG,False,2000-01,ORL
33,16.3,0,.640,.625,.595,0,.235,.750,.333,0,.405,.476,.778,.000,.667,.556,4,NBA,158,Darrell Armstrong,.000,.353,.214,.024,.143,.214,103,PG,False,2001-02,ORL
34,18.7,0,.538,.500,.591,0,.333,.333,.167,0,.409,.455,.500,,1.000,.471,7,NBA,226,Darrell Armstrong,.000,.333,.136,.000,.068,.386,103,PG,False,2002-03,ORL
35,22.0,0,.333,.667,.265,0,.200,.800,.500,0,.735,.235,.000,,1.000,.333,7,NBA,150,Darrell Armstrong,.000,.080,.059,.000,.029,.176,103,PG,False,2003-04,NOH
36,18.3,0,.750,.167,.500,0,.250,1.000,.000,0,.500,.500,.667,,1.000,.750,9,NBA,66,Darrell Armstrong,.000,.125,.188,.000,.063,.250,103,PG,False,2004-05,DAL
37,17.3,0,.375,.000,.533,0,.000,,.000,0,.467,.200,.667,.000,,.250,11,NBA,47,Darrell Armstrong,.000,.143,.200,.067,.000,.267,103,PG,False,2005-06,DAL
21,4.9,1,.500,.800,1.000,0,,,,0,.000,.500,.600,.333,.500,,8,NBA,23,Ante Zizic,.100,,.500,.300,.200,.000,883,C,False,2017-18,CLE
22,17.7,0,.529,.667,.515,0,.375,1.000,.167,0,.485,.455,.714,.500,,.375,6,NBA,136,Paul Zipser,.000,.375,.212,.061,.000,.242,882,SF,False,2016-17,CHI
21,2.2,1,.333,.333,1.000,0,,,,0,.000,.333,.375,.000,,,4,NBA,53,Cody Zeller,.111,,.889,.111,.000,.000,879,C,False,2013-14,CHA
23,4.3,4,.553,.810,1.000,0,,,,0,.000,.553,.520,.500,1.000,.750,7,NBA,137,Cody Zeller,.105,,.658,.211,.026,.105,879,C,False,2015-16,CHO
25,7.2,2,.517,.733,1.000,0,,,,0,.000,.517,.556,.600,.400,.400,4,NBA,90,Tyler Zeller,.103,,.310,.345,.172,.172,880,C,False,2014-15,BOS
26,9.3,0,.467,.857,1.000,0,,,,0,.000,.467,.571,1.000,.000,.333,3,NBA,38,Tyler Zeller,.000,,.467,.067,.067,.400,880,C,False,2015-16,BOS
27,7.4,0,.520,.692,1.000,0,,,,0,.000,.520,.714,.333,.000,.286,11,NBA,78,Tyler Zeller,.000,,.560,.120,.040,.280,880,C,False,2016-17,BOS
28,4.8,1,.800,.750,1.000,0,,,,0,.000,.800,1.000,.000,1.000,,7,NBA,66,Tyler Zeller,.200,,.600,.200,.200,.000,880,C,False,2017-18,MIL
23,14.9,0,.333,.000,.750,0,.500,1.000,,0,.250,.375,,.333,.000,1.000,5,NBA,23,Wang Zhizhi,.000,.000,.000,.375,.250,.125,873,C,False,2000-01,DAL
24,13.9,0,.400,.500,.625,0,.500,1.000,1.000,0,.375,.438,.333,,.000,.667,8,NBA,44,Wang Zhizhi,.000,.167,.375,.000,.063,.188,873,C,False,2001-02,DAL
26,,0,,,,0,,,,0,,,,,,,3,NBA,7,Wang Zhizhi,,,,,,,873,C,False,2003-04,MIA
24,18.7,0,.000,,.333,0,.500,1.000,.500,0,.667,.333,,.000,,,2,NBA,10,Josh Huestis,.000,1.000,.000,.333,.000,.000,861,PF,False,2015-16,OKC
26,2.0,1,.500,1.000,1.000,0,,,,0,.000,.500,.000,1.000,,,4,NBA,19,Josh Huestis,.500,,.500,.500,.000,.000,861,PF,False,2017-18,OKC
22,18.7,0,.250,.000,.444,0,.200,1.000,.000,0,.556,.222,1.000,,.000,.000,5,NBA,41,R.J. Hunter,.000,.200,.111,.000,.222,.111,862,SG,False,2015-16,BOS
21,1.9,10,.548,.609,1.000,0,,,,0,.000,.548,.594,.500,.000,,4,NBA,167,Dwight Howard,.262,,.762,.190,.048,.000,858,C,False,2006-07,ORL
22,2.9,34,.581,.611,1.000,0,,,,0,.000,.581,.691,.394,.286,.333,10,NBA,421,Dwight Howard,.282,,.653,.266,.056,.024,858,C,False,2007-08,ORL
23,3.1,64,.605,.534,.993,0,.000,,,1,.007,.601,.720,.402,.800,,23,NBA,903,Dwight Howard,.254,.000,.612,.362,.019,.000,858,C,False,2008-09,ORL
24,3.0,36,.614,.605,1.000,0,,,,0,.000,.614,.697,.492,1.000,,14,NBA,497,Dwight Howard,.264,,.543,.436,.021,.000,858,C,False,2009-10,ORL
25,4.8,16,.638,.490,.988,0,.000,,,1,.012,.630,.857,.476,.333,,6,NBA,258,Dwight Howard,.198,.000,.432,.519,.037,.000,858,C,False,2010-11,ORL
27,4.1,10,.619,.769,1.000,0,,,,0,.000,.619,.800,.385,.333,.000,4,NBA,126,Dwight Howard,.286,,.595,.310,.071,.024,858,C,False,2012-13,LAL
28,2.8,20,.547,.379,1.000,0,,,,0,.000,.547,.574,.500,,,6,NBA,231,Dwight Howard,.226,,.642,.358,.000,.000,858,C,False,2013-14,HOU
29,2.7,54,.577,.619,1.000,0,,,,0,.000,.577,.768,.279,.000,,17,NBA,574,Dwight Howard,.302,,.615,.374,.011,.000,858,C,False,2014-15,HOU
30,3.5,17,.553,.808,.979,0,.000,,,0,.021,.542,.786,.222,.000,,5,NBA,180,Dwight Howard,.375,.000,.583,.375,.021,.000,858,C,False,2015-16,HOU
31,2.7,10,.500,.833,1.000,0,,,,0,.000,.500,.593,.286,,.000,6,NBA,157,Dwight Howard,.333,,.750,.194,.000,.056,858,C,False,2016-17,ATL
21,8.6,7,.472,.647,1.000,0,,,,0,.000,.472,.667,.450,.000,.292,7,NBA,277,Al Horford,.111,,.375,.278,.014,.333,856,C,False,2007-08,ATL
22,9.4,5,.431,.680,.983,0,.000,,,0,.017,.424,.765,.286,.273,.313,9,NBA,252,Al Horford,.102,.000,.288,.237,.186,.271,856,C,False,2008-09,ATL
23,8.8,8,.520,.606,.992,0,1.000,1.000,,0,.008,.523,.634,.400,.533,.500,11,NBA,388,Al Horford,.070,.000,.320,.273,.117,.281,856,C,False,2009-10,ATL
24,13.0,11,.430,.810,.985,0,.000,,,0,.015,.423,.778,.381,.235,.357,12,NBA,468,Al Horford,.080,.000,.197,.153,.124,.511,856,C,False,2010-11,ATL
25,7.8,8,.588,.850,1.000,0,,,,0,.000,.588,.813,.400,.333,.400,3,NBA,108,Al Horford,.235,,.471,.147,.088,.294,856,C,False,2011-12,ATL
26,11.3,10,.494,.610,1.000,0,,,,0,.000,.494,.778,.588,.231,.400,6,NBA,218,Al Horford,.120,,.217,.205,.157,.422,856,C,False,2012-13,ATL
28,10.9,12,.520,.790,.957,0,.222,1.000,.333,1,.043,.507,.831,.474,.314,.386,16,NBA,522,Al Horford,.057,.667,.280,.180,.166,.332,856,C,False,2014-15,ATL
29,12.3,9,.489,.744,.759,0,.393,1.000,.000,0,.241,.466,.727,.550,.267,.211,10,NBA,327,Al Horford,.086,.071,.284,.172,.129,.164,856,C,False,2015-16,ATL
