age,ast,blk,drb,efg_pct,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,g,gs,lg_id,mp,name,orb,pf,pid,pos,pts,ring,season,stl,team_id,tov,trb
22,3,,18,.552,16,16,.552,29,0,,0,.552,29,15,.682,22,6,,ABA,98,Jim Ard,11,15,95,C,47,False,1970-71,,NYA,6,29
23,4,,,.438,14,14,.467,30,0,.000,2,.438,32,3,.300,10,13,,ABA,117,Jim Ard,,19,95,C,31,False,1971-72,,NYA,6,28
26,1,1,0,.125,1,1,.125,8,,,,.125,8,0,,0,5,,NBA,14,Jim Ard,2,5,95,C,2,False,1974-75,0,BOS,,2
27,8,3,16,.448,13,13,.448,29,,,,.448,29,11,.786,14,16,,NBA,110,Jim Ard,10,29,95,C,37,True,1975-76,1,BOS,,26
28,17,1,18,.548,20,14,.583,24,6,.333,18,.476,42,11,.846,13,5,0,NBA,143,Darrell Armstrong,3,6,103,PG,57,False,1996-97,8,ORL,7,21
30,25,0,14,.467,17,8,.364,22,9,.375,24,.370,46,16,1.000,16,4,4,NBA,163,Darrell Armstrong,6,16,103,PG,59,False,1998-99,9,ORL,25,20
32,19,2,17,.456,17,10,.385,26,7,.368,19,.378,45,12,.923,13,4,4,NBA,167,Darrell Armstrong,5,10,103,PG,53,False,2000-01,8,ORL,11,22
33,13,0,8,.524,20,16,.640,25,4,.235,17,.476,42,17,.810,21,4,4,NBA,158,Darrell Armstrong,3,14,103,PG,61,False,2001-02,5,ORL,7,11
34,26,0,10,.523,20,14,.538,26,6,.333,18,.455,44,20,.909,22,7,1,NBA,226,Darrell Armstrong,7,22,103,PG,66,False,2002-03,6,ORL,17,17
35,16,0,9,.309,8,3,.333,9,5,.200,25,.235,34,3,1.000,3,7,0,NBA,150,Darrell Armstrong,6,10,103,PG,24,False,2003-04,6,NOH,13,15
36,9,2,1,.563,8,6,.750,8,2,.250,8,.500,16,0,,0,9,0,NBA,66,Darrell Armstrong,3,9,103,PG,18,False,2004-05,3,DAL,2,4
37,2,1,6,.200,3,3,.375,8,0,.000,7,.200,15,2,1.000,2,11,0,NBA,47,Darrell Armstrong,1,9,103,PG,8,False,2005-06,3,DAL,1,7
21,1,1,5,.500,5,5,.500,10,0,,0,.500,10,3,.500,6,8,0,NBA,23,Ante Zizic,1,2,883,C,13,False,2017-18,0,CLE,2,6
22,3,1,18,.545,15,9,.529,17,6,.375,16,.455,33,8,1.000,8,6,0,NBA,136,Paul Zipser,3,12,882,SF,44,False,2016-17,1,CHI,7,21
21,2,3,4,.333,3,3,.333,9,0,,0,.333,9,2,.500,4,4,0,NBA,53,Cody Zeller,5,3,879,C,8,False,2013-14,0,CHA,2,9
23,2,3,28,.553,21,21,.553,38,0,,0,.553,38,17,.810,21,7,2,NBA,137,Cody Zeller,9,20,879,C,59,False,2015-16,1,CHO,7,37
29,6,,,,7,,,,,,,.179,39,12,.632,19,9,,BAA,,Matt Zunic,,26,878,,26,False,1948-49,,WSC,,
25,2,1,16,.517,15,15,.517,29,0,,0,.517,29,4,.800,5,4,4,NBA,90,Tyler Zeller,2,5,880,C,34,False,2014-15,2,BOS,4,18
26,2,2,11,.467,7,7,.467,15,0,,0,.467,15,4,.667,6,3,0,NBA,38,Tyler Zeller,4,1,880,C,18,False,2015-16,0,BOS,2,15
27,8,2,11,.520,13,13,.520,25,0,,0,.520,25,6,.750,8,11,0,NBA,78,Tyler Zeller,8,7,880,C,32,False,2016-17,0,BOS,4,19
