age,and1s,astd_pts,drawn_shooting,fga_blkd,fouls_blocking,fouls_offensive,fouls_shooting,fouls_take,g,lg_id,mp,name,pct_1,pct_2,pct_3,pct_4,pct_5,pid,plus_minus_net,plus_minus_on,pos,season,team_id,tov_bad_pass,tov_lost_ball,tov_other
24,8,67,67,26,,15,79,,82,NBA,989,Omer Asik,,,,,100%,1,+8.0,+14.2,C,2010-11,CHI,14,14,36
25,11,75,51,24,,9,65,,66,NBA,971,Omer Asik,,,,,100%,1,+0.1,+9.6,C,2011-12,CHI,14,23,31
26,30,172,143,83,,34,103,5,82,NBA,2464,Omer Asik,,,,,100%,1,+6.9,+6.3,C,2012-13,HOU,53,44,76
27,8,67,58,30,1,16,45,4,48,NBA,968,Omer Asik,,,,,100%,1,-1.3,+3.9,C,2013-14,HOU,12,10,37
28,19,172,107,89,2,18,62,1,76,NBA,1982,Omer Asik,,,,4%,96%,1,-0.3,+1.2,C,2014-15,NOP,21,30,44
29,5,60,53,38,2,16,60,1,68,NBA,1178,Omer Asik,,,,9%,91%,1,-7.2,-9.0,C,2015-16,NOP,17,21,22
30,4,38,19,13,2,2,29,0,31,NBA,482,Omer Asik,,,,1%,99%,1,-3.1,-4.7,C,2016-17,NOP,7,3,4
31,1,6,6,4,1,2,12,0,18,NBA,182,Omer Asik,,,,,100%,1,-4.1,-6.8,C,2017-18,,4,2,3
31,0,4,5,3,1,2,7,0,14,NBA,121,Omer Asik,,,,,100%,1,-1.3,+0.6,C,2017-18,NOP,1,1,3
31,1,2,1,1,0,0,5,0,4,NBA,61,Omer Asik,,,,,100%,1,-14.2,-21.6,C,2017-18,CHI,3,1,0
21,9,564,79,56,,7,58,,72,NBA,1908,D.J. Augustin,100%,,,,,2,+0.6,-1.1,PG,2008-09,CHA,73,32,14
22,7,428,43,47,,7,45,,80,NBA,1472,D.J. Augustin,100%,,,,,2,-1.4,+0.7,PG,2009-10,CHA,52,14,8
23,26,1114,93,81,,17,62,,82,NBA,2757,D.J. Augustin,100%,,,,,2,-3.7,-5.7,PG,2010-11,CHA,84,42,29
24,5,659,36,42,,15,23,,48,NBA,1408,D.J. Augustin,77%,23%,,,,2,+0.5,-15.4,PG,2011-12,CHA,65,20,25
25,0,383,21,20,,7,23,3,76,NBA,1226,D.J. Augustin,100%,,,,,2,-9.5,-1.7,PG,2012-13,IND,42,15,11
26,12,699,65,51,2,12,57,6,71,NBA,1939,D.J. Augustin,100%,,,,,2,-2.0,+1.3,PG,2013-14,,70,29,26
26,0,25,1,3,1,0,4,0,10,NBA,82,D.J. Augustin,100%,,,,,2,-11.8,-7.9,PG,2013-14,TOR,2,4,0
26,12,674,64,48,1,12,53,6,61,NBA,1857,D.J. Augustin,100%,,,,,2,-0.6,+1.8,PG,2013-14,CHI,68,25,23
27,12,827,68,50,3,9,32,7,82,NBA,1964,D.J. Augustin,98%,2%,,,,2,-3.4,-2.3,PG,2014-15,,82,41,22
27,11,618,56,38,1,6,21,4,54,NBA,1287,D.J. Augustin,97%,3%,,,,2,-3.2,-3.6,PG,2014-15,DET,64,32,14
27,1,209,12,12,2,3,11,3,28,NBA,677,D.J. Augustin,100%,,,,,2,-2.2,+0.2,PG,2014-15,OKC,18,9,8
28,10,445,47,32,1,8,40,9,62,NBA,1178,D.J. Augustin,100%,,,,,2,-3.8,-1.1,PG,2015-16,,32,36,16
28,1,145,12,12,0,2,23,3,34,NBA,519,D.J. Augustin,100%,,,,,2,-9.6,-1.2,PG,2015-16,OKC,17,5,8
28,9,300,35,20,1,6,17,6,28,NBA,659,D.J. Augustin,100%,,,,,2,+2.4,-1.1,PG,2015-16,DEN,15,31,8
29,10,482,64,35,7,10,31,6,78,NBA,1538,D.J. Augustin,100%,,,,,2,-12.7,-14.7,PG,2016-17,ORL,59,20,11
30,11,665,68,42,5,12,28,6,75,NBA,1760,D.J. Augustin,100%,,,,,2,+2.4,-3.8,PG,2017-18,ORL,68,27,27
23,0,40,3,2,0,1,15,0,16,NBA,290,Rodney Purvis,17%,82%,1%,,,3,-6.1,-10.8,SG,2017-18,ORL,4,2,4
24,5,33,19,9,1,0,22,1,20,NBA,397,David Nwaba,22%,70%,9%,,,4,+9.1,+1.0,SG,2016-17,LAL,6,5,0
25,19,246,103,49,0,10,81,1,70,NBA,1646,David Nwaba,2%,77%,21%,,,4,+2.0,-6.4,SG,2017-18,CHI,36,19,22
19,5,71,21,24,4,5,47,0,38,NBA,609,Ivica Zubac,,,,,100%,5,-4.3,-10.9,C,2016-17,LAL,13,10,7
20,3,58,22,12,3,5,25,0,43,NBA,410,Ivica Zubac,,,,,100%,5,+6.6,+4.4,C,2017-18,LAL,8,11,7
21,4,12,13,2,0,2,20,0,32,NBA,214,Ante Zizic,,,,9%,91%,6,-7.6,-6.1,C,2017-18,CLE,3,3,5
22,4,85,17,10,2,2,45,2,44,NBA,843,Paul Zipser,1%,57%,38%,4%,,7,+1.7,+1.4,SF,2016-17,CHI,19,11,11
23,0,115,10,14,4,6,38,3,54,NBA,824,Paul Zipser,,,51%,49%,,7,-6.7,-13.0,SF,2017-18,CHI,15,12,16
20,1,9,2,7,1,1,12,0,19,NBA,108,Stephen Zimmerman,,,,1%,99%,8,-12.4,-19.0,C,2016-17,ORL,1,0,1
23,11,224,61,49,,17,141,2,77,NBA,2033,Tyler Zeller,,,,,100%,9,-3.5,-6.9,C,2012-13,CLE,30,27,38
24,11,82,58,29,3,21,68,0,70,NBA,1049,Tyler Zeller,,,,7%,93%,9,+5.9,+0.8,C,2013-14,CLE,8,20,32
25,18,254,80,56,6,18,120,2,82,NBA,1731,Tyler Zeller,,,,,100%,9,-4.9,-2.8,C,2014-15,BOS,22,29,26
26,10,64,45,20,4,8,47,8,60,NBA,710,Tyler Zeller,,,,,100%,9,-7.0,-2.5,C,2015-16,BOS,9,18,19
27,4,99,14,16,5,6,33,4,51,NBA,525,Tyler Zeller,,,,,100%,9,-4.0,-0.3,C,2016-17,BOS,11,3,6
28,16,118,39,34,6,15,72,0,66,NBA,1109,Tyler Zeller,,,,1%,99%,9,+3.1,+0.6,C,2017-18,,10,15,22
28,14,72,31,24,5,10,42,0,42,NBA,703,Tyler Zeller,,,,1%,99%,9,+4.0,-0.7,C,2017-18,BRK,6,13,16
28,2,46,8,10,1,5,30,0,24,NBA,406,Tyler Zeller,,,,,100%,9,+3.1,+2.8,C,2017-18,MIL,4,2,6
21,17,208,92,43,16,17,76,0,82,NBA,1416,Cody Zeller,,,,,100%,10,-3.8,-2.5,C,2013-14,CHA,39,15,33
22,12,216,67,43,9,14,54,2,62,NBA,1487,Cody Zeller,,,,,100%,10,+7.0,+0.9,C,2014-15,CHO,31,9,22
23,18,171,103,60,12,21,93,3,73,NBA,1774,Cody Zeller,,,,21%,79%,10,+3.2,+4.7,C,2015-16,CHO,12,22,34
24,20,238,83,56,11,29,91,2,62,NBA,1725,Cody Zeller,,,,27%,73%,10,+10.5,+6.3,C,2016-17,CHO,19,12,34
25,7,75,34,22,0,9,31,0,33,NBA,627,Cody Zeller,,,,,100%,10,+1.8,+1.7,C,2017-18,CHO,13,6,14
24,0,18,0,0,,0,2,,2,NBA,32,Derrick Zimmerman,100%,,,,,14,-18.4,-16.9,PG,2005-06,NJN,2,2,0
23,0,0,3,3,,0,5,,5,NBA,38,Wang Zhizhi,,,,5%,95%,16,-45.7,-40.6,C,2000-01,DAL,0,1,0
24,2,50,24,12,,2,43,,55,NBA,600,Wang Zhizhi,,,,13%,87%,16,+1.7,+6.0,C,2001-02,DAL,13,7,5
25,6,22,28,12,,6,21,,41,NBA,412,Wang Zhizhi,,,,13%,88%,16,+2.0,-2.8,C,2002-03,LAC,9,14,8
26,0,5,4,6,,0,7,,16,NBA,114,Wang Zhizhi,,,,,100%,16,+9.6,+7.2,C,2003-04,,1,5,0
26,0,0,2,0,,0,0,,2,NBA,9,Wang Zhizhi,,,,,100%,16,+15.1,+10.0,C,2003-04,LAC,0,0,0
26,0,5,2,6,,0,7,,14,NBA,105,Wang Zhizhi,,,,,100%,16,+6.4,+6.8,C,2003-04,MIA,1,5,0
27,0,10,3,5,,0,4,,20,NBA,92,Wang Zhizhi,,,,4%,96%,16,-11.6,-4.0,C,2004-05,MIA,0,5,0
25,0,6,0,0,,0,4,0,16,NBA,58,Luke Zeller,,,,,100%,19,-26.8,-33.4,C,2012-13,PHO,0,0,0
20,6,115,53,38,11,25,96,1,62,NBA,1103,Jusuf Nurkic,,,,1%,100%,25,+4.4,-0.7,C,2014-15,DEN,20,28,36
