age,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,g,lg_id,mp,name,obpm,orb_pct,ows,per,pid,pos,ring,season,stl_pct,team_id,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48
24,1.0,4.2,-4.5,1.4,17.3,0.2,.000,.769,15,NBA,148,Omer Asik,-5.9,7.9,-0.1,4.3,1,C,False,2010-11,0.7,CHI,28.7,12.5,.431,7.6,-0.1,0.1,.034
25,9.6,5.8,1.0,5.0,16.6,0.3,.000,1.214,6,NBA,128,Omer Asik,-3.9,7.0,-0.1,8.6,1,C,False,2011-12,0.4,CHI,27.1,11.9,.466,10.7,0.1,0.1,.055
26,2.4,4.2,-0.1,3.1,25.1,0.1,.000,1.205,6,NBA,208,Omer Asik,-3.2,11.1,0.4,16.9,1,C,False,2012-13,0.7,HOU,16.7,18.0,.620,15.2,0.1,0.5,.123
27,3.5,2.0,-0.6,2.9,19.4,0.1,.000,.091,6,NBA,163,Omer Asik,-3.6,13.8,0.0,9.1,1,C,False,2013-14,1.0,HOU,24.3,16.5,.510,11.8,0.1,0.1,.026
28,10.2,0.0,1.5,6.8,23.4,0.0,.000,.700,4,NBA,79,Omer Asik,-5.3,17.2,0.0,9.4,1,C,False,2014-15,3.3,NOP,27.7,20.4,.306,10.5,0.1,0.0,-0.002
22,16.5,1.7,-5.4,0.2,5.3,0.0,.353,.353,4,NBA,73,D.J. Augustin,-5.6,1.8,-0.1,5.6,2,PG,False,2009-10,0.8,CHA,16.9,3.5,.433,16.0,-0.1,-0.1,-0.050
25,7.1,0.0,-0.6,-1.1,4.6,0.2,.676,.437,19,NBA,316,D.J. Augustin,0.5,0.8,0.5,9.7,2,PG,False,2012-13,1.2,IND,10.6,2.8,.579,14.0,0.1,0.7,.106
26,32.2,0.0,-4.5,-3.2,3.4,0.1,.361,.264,5,NBA,141,D.J. Augustin,-1.2,3.2,-0.2,9.5,2,PG,False,2013-14,1.2,CHI,10.1,3.3,.411,30.5,-0.1,-0.1,-0.031
21,8.0,4.0,-9.6,-1.1,26.5,0.0,.000,.600,8,NBA,23,Ante Zizic,-8.6,5.1,0.0,14.9,6,C,False,2017-18,0.0,CLE,13.7,15.5,.514,29.5,0.0,0.0,-0.001
22,3.4,0.8,-4.6,-1.4,14.6,0.1,.485,.242,6,NBA,136,Paul Zipser,-3.2,2.5,0.1,8.5,7,SF,False,2016-17,0.4,CHI,16.1,8.7,.602,14.4,-0.1,0.1,.048
