age,and1s,astd_pts,drawn_shooting,fga_blkd,fouls_blocking,fouls_offensive,fouls_shooting,fouls_take,g,lg_id,mp,name,pct_1,pct_2,pct_3,pct_4,pct_5,pid,plus_minus_net,plus_minus_on,pos,ring,season,team_id,tov_bad_pass,tov_lost_ball,tov_other
24,3,2,5,2,0,1,14,0,15,NBA,148,Omer Asik,,,,,100%,1,-1.3,3.4,C,False,2010-11,CHI,2,3,2
25,1,18,7,1,0,2,8,0,6,NBA,128,Omer Asik,,,,,100%,1,4.3,0.4,C,False,2011-12,CHI,0,3,5
26,3,8,17,5,1,4,12,0,6,NBA,208,Omer Asik,,,,,100%,1,30.4,3.5,C,False,2012-13,HOU,2,5,5
27,1,9,2,7,1,5,14,0,6,NBA,163,Omer Asik,,,,,100%,1,14.0,6.4,C,False,2013-14,HOU,3,3,5
28,1,12,3,3,0,2,3,0,4,NBA,79,Omer Asik,,,,,100%,1,-28.1,-24.7,C,False,2014-15,NOP,2,1,2
22,1,17,2,2,,0,1,0,4,NBA,73,D.J. Augustin,100%,,,,,2,25.1,5.0,PG,False,2009-10,CHA,4,0,0
25,0,27,3,9,1,1,9,1,19,NBA,316,D.J. Augustin,100%,,,,,2,-26.1,-16.6,PG,False,2012-13,IND,6,2,2
26,2,53,7,9,0,0,6,1,5,NBA,141,D.J. Augustin,100%,,,,,2,23.2,4.6,PG,False,2013-14,CHI,3,5,1
21,0,2,2,1,0,0,1,0,8,NBA,23,Ante Zizic,,,,,100%,6,21.9,19.5,C,False,2017-18,CLE,1,0,0
22,0,7,4,0,2,1,3,0,6,NBA,136,Paul Zipser,,,85%,15%,,7,-3.2,-9.3,SF,False,2016-17,CHI,4,0,1
25,1,4,3,3,1,0,4,0,4,NBA,90,Tyler Zeller,,,,,100%,9,3.1,-9.3,C,False,2014-15,BOS,2,2,0
26,0,5,2,0,0,0,1,0,3,NBA,38,Tyler Zeller,,,,,100%,9,25.0,15.9,C,False,2015-16,BOS,0,1,0
27,0,20,4,2,1,2,3,0,11,NBA,78,Tyler Zeller,,,,,100%,9,-8.8,-10.7,C,False,2016-17,BOS,1,1,2
28,0,7,2,0,0,0,7,0,7,NBA,66,Tyler Zeller,,,,,100%,9,-33.1,-26.4,C,False,2017-18,MIL,1,0,0
21,0,5,2,3,0,0,3,0,4,NBA,53,Cody Zeller,,,,,100%,10,-27.6,-30.8,C,False,2013-14,CHA,1,1,0
23,0,5,8,2,1,4,8,0,7,NBA,137,Cody Zeller,,,,27%,73%,10,19.7,0.7,C,False,2015-16,CHO,0,2,4
23,1,3,1,0,,0,0,0,5,NBA,23,Wang Zhizhi,,,,,100%,16,47.6,40.9,C,False,2000-01,DAL,0,1,0
24,0,8,2,0,,0,5,0,8,NBA,44,Wang Zhizhi,,,,6%,94%,16,-12.9,-11.5,C,False,2001-02,DAL,0,0,0
26,0,2,0,0,,0,0,0,3,NBA,7,Wang Zhizhi,,,,32%,68%,16,36.6,36.4,C,False,2003-04,MIA,0,1,0
22,0,9,0,0,0,0,1,0,1,NBA,17,Jusuf Nurkic,,,,,100%,25,48.0,26.0,C,False,2016-17,POR,2,1,0
23,1,10,6,6,0,1,6,0,4,NBA,94,Jusuf Nurkic,,,,,100%,25,-7.4,-13.1,C,False,2017-18,POR,0,2,1
22,10,34,43,9,,2,12,0,10,NBA,399,Dirk Nowitzki,,,,59%,41%,27,-0.7,-4.4,PF,False,2000-01,DAL,6,6,2
23,8,42,31,9,,1,16,0,8,NBA,357,Dirk Nowitzki,,,,17%,83%,27,-20.2,-1.7,C,False,2001-02,DAL,12,6,4
24,12,88,48,16,,3,33,0,17,NBA,722,Dirk Nowitzki,,,,51%,49%,27,1.6,-0.3,PF,False,2002-03,DAL,25,10,5
25,1,15,14,2,,0,11,0,5,NBA,212,Dirk Nowitzki,,,,,100%,27,-2.7,0.4,C,False,2003-04,DAL,3,3,0
26,12,96,47,20,,4,25,0,13,NBA,551,Dirk Nowitzki,,,,51%,49%,27,-5.2,-2.7,PF,False,2004-05,DAL,15,11,7
27,17,151,81,16,,6,42,0,23,NBA,983,Dirk Nowitzki,,,,77%,24%,27,6.9,5.2,PF,False,2005-06,DAL,29,10,10
28,2,34,17,2,,3,10,0,6,NBA,239,Dirk Nowitzki,,,,58%,42%,27,4.6,-6.8,PF,False,2006-07,DAL,4,6,4
29,3,46,18,4,,2,3,0,5,NBA,211,Dirk Nowitzki,,,,74%,26%,27,13.1,-8.8,PF,False,2007-08,DAL,3,5,2
30,7,80,34,11,,5,12,0,10,NBA,394,Dirk Nowitzki,,,,87%,13%,27,15.9,1.7,PF,False,2008-09,DAL,10,8,5
31,6,44,15,2,,2,6,0,6,NBA,233,Dirk Nowitzki,,,,92%,8%,27,-16.1,-3.8,PF,False,2009-10,DAL,6,1,3
32,10,134,61,29,0,10,27,0,21,NBA,826,Dirk Nowitzki,,,,97%,3%,27,16.8,10.2,PF,True,2010-11,DAL,27,23,15
33,6,19,14,8,1,3,4,0,4,NBA,154,Dirk Nowitzki,,,,60%,40%,27,-9.7,-8.1,PF,False,2011-12,DAL,3,4,3
35,1,23,12,0,0,4,11,2,7,NBA,263,Dirk Nowitzki,,,,69%,31%,27,-22.9,-7.7,PF,False,2013-14,DAL,5,6,4
36,1,27,5,0,0,1,12,0,5,NBA,181,Dirk Nowitzki,,,,71%,29%,27,-3.2,-6.3,PF,False,2014-15,DAL,8,1,1
37,2,18,6,3,0,1,5,0,5,NBA,170,Dirk Nowitzki,,,,80%,20%,27,10.5,-16.7,PF,False,2015-16,DAL,0,6,1
23,0,0,0,0,0,0,2,0,5,NBA,29,Lucas Nogueira,,,,,100%,29,-6.5,-11.8,C,False,2015-16,TOR,0,0,0
24,0,0,0,0,0,0,1,0,3,NBA,7,Lucas Nogueira,,,,100%,,29,66.2,59.3,C,False,2016-17,TOR,0,0,0
25,0,3,1,1,1,1,3,0,5,NBA,24,Lucas Nogueira,,,,,100%,29,-47.0,-48.9,C,False,2017-18,TOR,2,0,1
23,3,35,9,5,,0,19,0,7,NBA,271,Joakim Noah,,,,37%,63%,30,-21.3,-11.0,C,False,2008-09,CHI,1,3,4
24,1,28,9,7,,2,6,0,5,NBA,188,Joakim Noah,,,,27%,73%,30,6.5,-9.2,C,False,2009-10,CHI,6,4,5
25,3,88,21,13,2,3,28,0,16,NBA,529,Joakim Noah,,,,,100%,30,4.7,6.0,C,False,2010-11,CHI,6,8,5
26,1,20,3,2,0,1,3,0,3,NBA,99,Joakim Noah,,,,,100%,30,1.5,-1.1,C,False,2011-12,CHI,0,0,1
27,2,61,12,9,0,3,21,0,12,NBA,409,Joakim Noah,,,,,100%,30,-9.5,-10.1,C,False,2012-13,CHI,13,7,4
28,1,53,7,3,0,3,8,0,5,NBA,210,Joakim Noah,,,,,100%,30,-7.7,-6.4,C,False,2013-14,CHI,12,3,4
29,0,87,8,9,0,0,19,0,12,NBA,395,Joakim Noah,,,,,100%,30,-3.8,1.7,C,False,2014-15,CHI,17,2,0
24,0,8,0,0,0,0,5,0,9,NBA,60,Raul Neto,100%,,,,,33,-6.9,-10.7,PG,False,2016-17,UTA,1,2,0
25,0,23,2,4,1,0,2,1,8,NBA,72,Raul Neto,92%,8%,,,,33,9.8,6.7,PG,False,2017-18,UTA,3,0,0
24,1,26,3,2,,1,6,0,4,NBA,129,Jameer Nelson,100%,,,,,34,-8.7,-13.2,PG,False,2006-07,ORL,3,5,1
25,2,117,14,7,,2,19,0,10,NBA,333,Jameer Nelson,100%,,,,,34,2.7,2.8,PG,False,2007-08,ORL,11,7,3
26,0,33,1,2,,0,0,0,5,NBA,90,Jameer Nelson,100%,,,,,34,-12.3,-8.8,PG,False,2008-09,ORL,4,1,2
27,4,161,17,10,,3,19,0,14,NBA,479,Jameer Nelson,100%,,,,,34,-1.4,9.8,PG,False,2009-10,ORL,18,10,7
28,0,70,5,9,0,1,5,0,6,NBA,216,Jameer Nelson,100%,,,,,34,17.0,6.2,PG,False,2010-11,ORL,3,3,2
29,1,80,6,2,0,0,7,0,5,NBA,182,Jameer Nelson,100%,,,,,34,-10.4,-15.5,PG,False,2011-12,ORL,4,5,1
25,0,8,2,3,0,0,2,1,4,NBA,47,Shabazz Napier,100%,,,,,36,19.5,-2.9,PG,False,2016-17,POR,0,0,0
26,0,6,1,0,0,0,0,0,2,NBA,35,Shabazz Napier,100%,,,,,36,15.0,2.8,PG,False,2017-18,POR,3,2,0
25,3,43,11,3,1,4,11,1,20,NBA,307,Larry Nance Jr.,,,,35%,65%,37,-3.3,-4.3,C,False,2017-18,CLE,5,2,5
24,0,7,1,1,0,0,2,0,11,NBA,33,Abdel Nader,45%,54%,1%,,,38,-19.8,-18.4,SF,False,2017-18,BOS,2,0,0
24,0,0,0,0,,0,1,0,3,NBA,21,Steve Novak,,,44%,56%,,43,-12.0,-14.7,SF,False,2007-08,HOU,0,0,0
27,0,0,0,0,0,0,0,0,1,NBA,6,Steve Novak,,,,100%,,43,13.0,9.1,SF,False,2010-11,SAS,0,0,0
28,0,0,0,0,0,0,6,0,5,NBA,95,Steve Novak,,,14%,86%,,43,-13.7,-24.9,PF,False,2011-12,NYK,0,2,1
29,0,0,0,0,0,0,2,1,9,NBA,50,Steve Novak,,,22%,41%,37%,43,-22.7,-17.5,SF,False,2012-13,NYK,0,0,0
30,0,2,0,0,0,0,0,0,4,NBA,15,Steve Novak,,,,53%,47%,43,18.2,15.8,PF,False,2013-14,TOR,0,0,0
31,0,0,0,0,,0,0,0,2,NBA,7,Moochie Norris,100%,,,,,49,-104.3,-105.6,PG,False,2004-05,HOU,0,0,0
25,1,32,9,7,,1,10,0,6,NBA,202,Andres Nocioni,,,60%,40%,,60,-8.9,-4.6,SF,False,2004-05,CHI,5,4,2
26,4,22,16,4,,4,13,0,6,NBA,230,Andres Nocioni,,,30%,70%,,60,11.9,-0.1,PF,False,2005-06,CHI,6,0,8
27,3,18,9,5,,1,10,0,10,NBA,197,Andres Nocioni,,,24%,76%,,60,-0.7,0.5,PF,False,2006-07,CHI,5,4,4
31,0,0,0,0,0,1,0,0,1,NBA,10,Andres Nocioni,,,95%,5%,,60,-21.2,-28.8,SF,False,2010-11,PHI,0,0,1
38,0,4,0,0,,0,0,0,3,NBA,22,Johnny Newman,,71%,29%,,,74,-57.0,-53.7,SF,False,2001-02,DAL,0,0,0
31,0,0,0,0,,1,0,0,5,NBA,11,Ira Newble,,26%,75%,,,76,41.9,37.4,SG,False,2005-06,CLE,0,0,1
32,0,3,0,0,,0,2,0,6,NBA,10,Ira Newble,,15%,85%,,,76,5.8,8.7,SF,False,2006-07,CLE,0,0,0
33,0,0,0,0,,0,0,0,1,NBA,1,Ira Newble,,,,100%,,76,-102.5,-100.0,SF,False,2007-08,LAL,0,0,0
24,0,7,0,2,,1,4,0,4,NBA,49,Rasho Nesterovic,,,,,100%,83,2.2,-6.4,C,False,2000-01,MIN,1,0,2
25,1,6,4,2,,0,8,0,3,NBA,92,Rasho Nesterovic,,,,,100%,83,-9.8,-14.3,C,False,2001-02,MIN,2,2,0
26,2,8,4,8,,1,19,0,6,NBA,169,Rasho Nesterovic,,,,,100%,83,2.5,-5.6,C,False,2002-03,MIN,1,2,2
27,0,24,2,4,,0,28,0,10,NBA,261,Rasho Nesterovic,,,,,100%,83,-23.1,-7.3,C,False,2003-04,SAS,6,1,1
28,0,6,0,3,,1,12,0,15,NBA,114,Rasho Nesterovic,,,,,100%,83,-1.3,3.4,C,True,2004-05,SAS,0,1,3
29,0,2,1,2,,0,14,0,9,NBA,114,Rasho Nesterovic,,,,,100%,83,5.5,6.7,C,False,2005-06,SAS,1,0,1
30,1,6,2,0,,0,3,0,5,NBA,71,Rasho Nesterovic,,,,,100%,83,-24.4,-24.4,C,False,2006-07,TOR,1,0,3
31,0,7,0,4,,3,9,0,5,NBA,77,Rasho Nesterovic,,,,,100%,83,11.4,2.3,C,False,2007-08,TOR,1,0,4
22,0,0,0,0,0,0,0,1,1,NBA,0,Nemanja Nedovic,,100%,,,,94,3.6,0.0,SG,False,2013-14,GSW,0,0,0
26,0,11,3,3,3,1,5,0,6,NBA,111,Gary Neal,7%,65%,28%,,,98,-11.8,-10.9,SG,False,2010-11,SAS,0,0,2
27,3,47,6,3,2,2,7,0,14,NBA,217,Gary Neal,58%,42%,,,,98,-24.3,-9.3,SG,False,2011-12,SAS,3,6,2
28,0,36,5,5,2,2,12,3,21,NBA,390,Gary Neal,14%,85%,1%,,,98,0.0,7.4,SG,False,2012-13,SAS,5,5,3
29,1,10,4,1,0,1,6,0,4,NBA,104,Gary Neal,,100%,,,,98,-11.9,-16.2,SG,False,2013-14,CHA,4,2,2
26,2,142,10,7,,2,5,0,10,NBA,370,Steve Nash,95%,5%,,,,106,-7.5,-6.0,PG,False,2000-01,DAL,12,8,5
27,1,158,7,1,,0,8,0,8,NBA,323,Steve Nash,100%,,,,,106,26.7,4.4,PG,False,2001-02,DAL,18,11,1
28,6,330,20,11,,3,13,0,20,NBA,729,Steve Nash,100%,,,,,106,-1.5,-1.1,PG,False,2002-03,DAL,33,9,9
29,0,97,2,1,,0,5,0,5,NBA,197,Steve Nash,100%,,,,,106,-11.9,-1.6,PG,False,2003-04,DAL,9,3,0
30,4,390,16,6,,4,11,0,15,NBA,610,Steve Nash,91%,9%,,,,106,-0.5,4.4,PG,False,2004-05,PHO,52,11,7
