age,ast,blk,drb,efg_pct,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,g,gs,lg_id,mp,name,orb,pf,pid,pos,pts,ring,season,stl,team_id,tov,trb
24,1,8,21,.462,6,6,.462,13,0,,0,.462,13,3,.300,10,15,0,NBA,148,Omer Asik,10,21,1,C,15,False,2010-11,2,CHI,7,31
25,8,10,20,.500,7,7,.500,14,0,,0,.500,14,6,.353,17,6,3,NBA,128,Omer Asik,8,14,1,C,20,False,2011-12,1,CHI,8,28
26,3,10,46,.564,22,22,.564,39,0,,0,.564,39,30,.638,47,6,6,NBA,208,Omer Asik,21,22,1,C,74,False,2012-13,3,HOU,12,67
27,4,4,28,.485,16,16,.485,33,0,,0,.485,33,3,1.000,3,6,4,NBA,163,Omer Asik,21,29,1,C,35,False,2013-14,3,HOU,11,49
28,6,0,17,.200,2,2,.200,10,0,,0,.200,10,4,.571,7,4,4,NBA,79,Omer Asik,12,10,1,C,8,False,2014-15,5,NOP,5,29
22,7,1,3,.353,5,3,.273,11,2,.333,6,.294,17,5,.833,6,4,0,NBA,73,D.J. Augustin,1,4,2,PG,17,False,2009-10,1,CHA,4,4
25,13,0,13,.514,27,8,.348,23,19,.396,48,.380,71,25,.806,31,19,1,NBA,316,D.J. Augustin,2,26,2,PG,98,False,2012-13,7,IND,10,15
26,24,0,4,.340,21,14,.304,46,7,.269,26,.292,72,17,.895,19,5,0,NBA,141,D.J. Augustin,4,16,2,PG,66,False,2013-14,3,CHI,9,8
21,1,1,5,.500,5,5,.500,10,0,,0,.500,10,3,.500,6,8,0,NBA,23,Ante Zizic,1,2,6,C,13,False,2017-18,0,CLE,2,6
22,3,1,18,.545,15,9,.529,17,6,.375,16,.455,33,8,1.000,8,6,0,NBA,136,Paul Zipser,3,12,7,SF,44,False,2016-17,1,CHI,7,21
25,2,1,16,.517,15,15,.517,29,0,,0,.517,29,4,.800,5,4,4,NBA,90,Tyler Zeller,2,5,9,C,34,False,2014-15,2,BOS,4,18
26,2,2,11,.467,7,7,.467,15,0,,0,.467,15,4,.667,6,3,0,NBA,38,Tyler Zeller,4,1,9,C,18,False,2015-16,0,BOS,2,15
27,8,2,11,.520,13,13,.520,25,0,,0,.520,25,6,.750,8,11,0,NBA,78,Tyler Zeller,8,7,9,C,32,False,2016-17,0,BOS,4,19
28,3,3,12,.800,4,4,.800,5,0,,0,.800,5,3,.750,4,7,3,NBA,66,Tyler Zeller,2,11,9,C,11,False,2017-18,4,MIL,1,14
21,2,3,4,.333,3,3,.333,9,0,,0,.333,9,2,.500,4,4,0,NBA,53,Cody Zeller,5,3,10,C,8,False,2013-14,0,CHA,2,9
23,2,3,28,.553,21,21,.553,38,0,,0,.553,38,17,.810,21,7,2,NBA,137,Cody Zeller,9,20,10,C,59,False,2015-16,1,CHO,7,37
29,6,,,,7,,,,,,,.179,39,12,.632,19,9,,BAA,,Matt Zunic,,26,11,,26,False,1948-49,,WSC,,
23,1,1,2,.438,3,2,.333,6,1,.500,2,.375,8,3,1.000,3,5,0,NBA,23,Wang Zhizhi,0,1,16,C,10,False,2000-01,1,DAL,1,2
24,3,1,3,.531,7,4,.400,10,3,.500,6,.438,16,3,.500,6,8,0,NBA,44,Wang Zhizhi,5,11,16,C,20,False,2001-02,0,DAL,0,8
26,1,0,0,,0,0,,0,0,,0,,0,0,,0,3,0,NBA,7,Wang Zhizhi,0,1,16,C,0,False,2003-04,0,MIA,1,0
23,0,0,0,,0,0,,0,0,,0,,0,0,,0,1,0,NBA,1,Phil Zevenbergen,0,0,17,C,0,False,1987-88,0,SAS,0,0
23,4,,,.343,12,12,.343,35,,,,.343,35,2,.286,7,15,,NBA,67,Gary Zeller,,15,21,SG,26,False,1970-71,,BAL,,13
24,0,,,1.000,1,1,1.000,1,0,,0,1.000,1,0,.000,1,3,,ABA,9,Gary Zeller,,7,21,SG,2,False,1971-72,,NYA,3,1
22,1,,,,1,,,,,,,.500,2,0,,0,2,,NBA,5,Dave Zeller,,0,22,PG,2,False,1961-62,,CIN,,1
22,0,,,,1,,,,,,,.167,6,0,.000,2,2,,NBA,18,Zeke Zawoluk,,5,23,PF,2,False,1952-53,,INO,,2
21,4,,,,60,,,,,,,.302,199,29,.659,44,11,,BAA,,Max Zaslofsky,,26,24,SG,149,False,1946-47,,CHS,,
