age,avg_dist,fg2_dunk,fg2_pct,fg2_pct_ast,fg2a_pct_fga,fg3_heave,fg3_pct,fg3_pct_ast,fg3_pct_corner,fg3a_heave,fg3a_pct_fga,fg_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,g,lg_id,mp,name,pct_fg2_dunk,pct_fg3a_corner,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pid,pos,season,team_id
24,2.0,51,.553,.590,1.000,0,,,,0,.000,.553,.593,.235,1.000,,82,NBA,989,Omer Asik,.376,,.872,.121,.007,.000,1,C,2010-11,CHI
25,2.4,27,.506,.696,1.000,0,,,,0,.000,.506,.545,.379,.500,.000,66,NBA,971,Omer Asik,.199,,.788,.186,.013,.013,1,C,2011-12,CHI
26,2.5,127,.542,.696,.998,0,.000,,.000,0,.002,.541,.607,.274,.375,.500,82,NBA,2464,Omer Asik,.217,1.000,.788,.184,.013,.013,1,C,2012-13,HOU
27,2.8,36,.532,.644,1.000,0,,,,0,.000,.532,.597,.273,.750,.000,48,NBA,968,Omer Asik,.211,,.784,.174,.021,.021,1,C,2013-14,HOU
28,1.8,81,.517,.690,1.000,0,,,,0,.000,.517,.553,.216,.200,.000,76,NBA,1982,Omer Asik,.223,,.896,.090,.012,.002,1,C,2014-15,NOP
29,1.5,43,.533,.712,1.000,0,,,,0,.000,.533,.590,.231,.000,.000,68,NBA,1178,Omer Asik,.231,,.851,.133,.015,.005,1,C,2015-16,NOP
30,1.6,14,.477,.677,1.000,0,,,,0,.000,.477,.517,.000,,,31,NBA,482,Omer Asik,.246,,.892,.092,.000,.000,1,C,2016-17,NOP
31,2.9,1,.409,1.000,1.000,0,,,,0,.000,.409,.389,.500,1.000,.000,18,NBA,182,Omer Asik,.045,,.818,.091,.045,.045,1,C,2017-18,
31,3.3,1,.438,1.000,1.000,0,,,,0,.000,.438,.385,1.000,1.000,.000,14,NBA,121,Omer Asik,.063,,.813,.063,.063,.063,1,C,2017-18,NOP
31,1.7,0,.333,1.000,1.000,0,,,,0,.000,.333,.400,.000,,,4,NBA,61,Omer Asik,.000,,.833,.167,.000,.000,1,C,2017-18,CHI
21,15.2,0,.424,.151,.604,0,.439,.861,.447,4,.396,.430,.471,.366,.286,.434,72,NBA,1908,D.J. Augustin,.000,.191,.277,.066,.079,.182,2,PG,2008-09,CHA
22,15.6,0,.381,.286,.591,0,.393,.829,.459,5,.409,.386,.415,.423,.364,.320,80,NBA,1472,D.J. Augustin,.000,.208,.283,.060,.076,.172,2,PG,2009-10,CHA
23,14.3,0,.461,.236,.652,0,.333,.676,.375,7,.348,.416,.545,.279,.372,.447,82,NBA,2757,D.J. Augustin,.000,.120,.312,.109,.045,.187,2,PG,2010-11,CHA
24,14.4,0,.396,.230,.632,0,.341,.623,.375,2,.368,.376,.490,.210,.323,.403,48,NBA,1408,D.J. Augustin,.000,.134,.294,.127,.064,.148,2,PG,2011-12,CHA
25,19.6,0,.346,.222,.354,0,.353,.866,.435,3,.646,.350,.511,.091,.231,.333,76,NBA,1226,D.J. Augustin,.000,.242,.153,.075,.044,.082,2,PG,2012-13,IND
26,16.6,0,.427,.297,.538,1,.401,.639,.365,7,.462,.415,.534,.246,.367,.411,71,NBA,1939,D.J. Augustin,.000,.190,.224,.096,.068,.149,2,PG,2013-14,
26,16.3,0,.462,.000,.542,0,.091,1.000,.333,0,.458,.292,.400,.333,.000,.750,10,NBA,82,D.J. Augustin,.000,.273,.208,.125,.042,.167,2,PG,2013-14,TOR
26,16.6,0,.426,.308,.537,1,.411,.636,.367,7,.463,.419,.538,.242,.375,.398,61,NBA,1857,D.J. Augustin,.000,.187,.225,.095,.069,.148,2,PG,2013-14,CHI
27,14.2,0,.436,.154,.620,0,.337,.590,.386,6,.380,.399,.599,.319,.324,.343,82,NBA,1964,D.J. Augustin,.000,.179,.250,.209,.057,.104,2,PG,2014-15,
27,13.2,0,.450,.129,.675,0,.327,.490,.286,4,.325,.410,.615,.337,.280,.346,54,NBA,1287,D.J. Augustin,.000,.140,.282,.226,.054,.113,2,PG,2014-15,DET
27,16.8,0,.389,.257,.484,0,.354,.735,.478,2,.516,.371,.531,.258,.417,.333,28,NBA,677,D.J. Augustin,.000,.240,.172,.167,.065,.081,2,PG,2014-15,OKC
28,15.4,0,.440,.175,.520,1,.405,.632,.514,3,.480,.423,.516,.270,.480,.393,62,NBA,1178,D.J. Augustin,.000,.220,.260,.106,.071,.080,2,PG,2015-16,
28,15.7,0,.367,.227,.496,0,.393,.750,.400,1,.504,.380,.452,.250,.000,.385,34,NBA,519,D.J. Augustin,.000,.246,.256,.099,.033,.107,2,PG,2015-16,OKC
28,15.3,0,.475,.155,.533,1,.411,.568,.591,2,.467,.445,.550,.280,.571,.400,28,NBA,659,D.J. Augustin,.000,.206,.262,.109,.092,.066,2,PG,2015-16,DEN
29,18.1,0,.412,.200,.470,0,.347,.737,.373,4,.530,.377,.482,.360,.355,.390,78,NBA,1538,D.J. Augustin,.000,.186,.164,.097,.060,.149,2,PG,2016-17,ORL
30,15.6,0,.485,.231,.496,0,.419,.675,.357,2,.504,.452,.569,.367,.414,.517,75,NBA,1760,D.J. Augustin,.000,.154,.241,.146,.054,.054,2,PG,2017-18,ORL
23,18.6,0,.400,.591,.514,0,.250,.846,.200,1,.486,.327,.538,.400,.364,.346,16,NBA,290,Rodney Purvis,.009,.288,.121,.047,.103,.243,3,SG,2017-18,ORL
24,3.9,18,.605,.609,.938,0,.200,1.000,.250,0,.062,.580,.656,.500,.000,.333,20,NBA,397,David Nwaba,.235,.800,.753,.123,.025,.037,4,SG,2016-17,LAL
25,5.6,35,.496,.522,.877,0,.346,.944,.280,0,.123,.478,.619,.310,.278,1.000,70,NBA,1646,David Nwaba,.090,.481,.527,.305,.043,.002,4,SG,2017-18,CHI
19,6.2,20,.536,.802,.987,0,.000,,,1,.013,.529,.615,.474,.455,.571,38,NBA,609,Ivica Zubac,.101,.000,.403,.399,.092,.088,5,C,2016-17,LAL
20,3.8,19,.504,.656,.992,0,.000,,,0,.008,.500,.634,.324,.364,.000,43,NBA,410,Ivica Zubac,.189,.000,.582,.303,.090,.016,5,C,2017-18,LAL
21,3.4,10,.731,.633,1.000,0,,,,0,.000,.731,.854,.571,.250,1.000,32,NBA,214,Ante Zizic,.149,,.612,.313,.060,.015,6,C,2017-18,CLE
22,16.5,4,.451,.818,.552,0,.333,1.000,.390,2,.448,.398,.612,.333,.364,.341,44,NBA,843,Paul Zipser,.018,.414,.222,.095,.050,.186,7,SF,2016-17,CHI
23,16.9,6,.355,.591,.530,0,.336,.973,.391,0,.470,.346,.629,.214,.389,.209,54,NBA,824,Paul Zipser,.026,.209,.150,.120,.077,.184,7,SF,2017-18,CHI
20,8.1,2,.323,.600,1.000,0,,,,0,.000,.323,.556,.300,.125,.250,19,NBA,108,Stephen Zimmerman,.065,,.290,.323,.258,.129,8,C,2016-17,ORL
23,9.9,31,.441,.800,.993,0,.000,,,0,.007,.438,.594,.385,.348,.358,77,NBA,2033,Tyler Zeller,.066,.000,.335,.195,.118,.345,9,C,2012-13,CLE
24,6.3,30,.540,.795,.997,0,.000,,,1,.003,.538,.649,.362,.517,.465,70,NBA,1049,Tyler Zeller,.107,.000,.510,.238,.100,.148,9,C,2013-14,CLE
